"repeater","band","channel","tx1","rx1","type","locator","where","NGR","region","ctcss","keeper","lat","lng","status",
GB3AA,2M,RV53,145.6625,145.0625,AV,IO81RO,BRISTOL,ST627882,SW,94.8,G4CJZ,51.591373,-2.539454,OPERATIONAL,
GB3AC,70CM,RU78,430.9750,438.5750,AV,IO81SR,LYDNEY GLOS,SO673026,SW,94.8,G4CJZ,51.720088,-2.47364,BEACON MODE,
GB3AE,6M,R50-01,50.7200,51.2200,AV,IO71PR,TENBY,SN119058,WM,94.8,GW4AKZ,51.71930517,-4.724510366,OPERATIONAL,
GB3AG,2M,RV58,145.7250,145.1250,AV,IO86ON,FORFAR,NO489417,SCOT,94.8,GM1CMF,56.56446931,-2.833069897,OPERATIONAL,
GB3AH,70CM,RB11,433.2750,434.8750,AV,JO02KP,EAST DEREHAM,TF924103,SE,94.8,G0LGJ,52.656568,0.843184,OPERATIONAL,
GB3AK,23CM,RM14A,1297.3500,1277.3500,AV,IO81RO,BRISTOL,ST627882,SW,94.8,G4CJZ,51.591373,-2.539454,OPERATIONAL,
GB3AL,2M,RV59,145.7375,145.1375,AV,IO91QP,AMERSHAM,SU957955,SW,77,G0RDI,51.650179,-0.616768,OPERATIONAL,
GB3AM,6M,R50-13,50.8400,51.3400,AV,IO91QP,AMERSHAM,SU957955,SW,77,G0RDI,51.650179,-0.616768,OPERATIONAL,
GB3AN,70CM,RB08,433.2000,434.8000,AV,IO73UJ,AMLWCH,SH471906,WM,110.9,GW6DOK,53.390603,-4.301089,OPERATIONAL,
GB3AP,2M,RV49,145.6125,145.0125,AV,IO71OV,HAVERFORDWEST,SN070275,WM,94.8,GW4AKZ,51.915900 ,-4.806600,NOT OPERATIONAL,
GB3AR,2M,RV56,145.7000,145.1000,AV,IO73VC,CAERNARFON,SH528608,WM,110.9,GW4KAZ,53.12399791,-4.201234658,OPERATIONAL,
GB3AS,2M,RV48,145.6000,145.0000,AV,IO84LS,CARLISLE,NY337412,NOR,77,G1XSZ,54.761631,-3.031544,OPERATIONAL,
GB3AU,70CM,RB07,433.1750,434.7750,AV,IO91QP,AMERSHAM,SU957955,SW,82.5,G0RDI,51.650179,-0.616768,OPERATIONAL,
GB3AV,70CM,RB02,433.0500,434.6500,AV,IO91OT,AYLESBURY,SP819135,SW,118.8,G8BQH,51.8141423,-0.813319561,OPERATIONAL,
GB3AW,70CM,RB10,433.2500,434.8500,AV,IO91HH,NEWBURY,SU417578,SW,71.9,G8DOR,51.3177891,-1.403015237,OPERATIONAL,
GB3AY,2M,RV52,145.6500,145.0500,AV,IO75OR,DALRY,NS266519,SCOT,103.5,MM0YET,55.72938605,-4.762879126,OPERATIONAL,
GB3BB,2M,RV56,145.7000,145.1000,AV,IO81HW,BRECON,SO090319,WM,94.8,MW0UAA,51.967638,-3.340583,NOT OPERATIONAL,
GB3BC,2M,RV60,145.7500,145.1500,AV,IO81IO,PONTYPRIDD,ST098911,WM,94.8,GW6CUR,51.611936,-3.303328,LICENSED,
GB3BE,70CM,RU69,430.8625,438.4625,AV,IO85SS,DUNS,NT730540,SCOT,118.8,GM7LUN,55.78,-2.42,OPERATIONAL,
GB3BF,2M,RV63,145.7875,145.1875,AV,IO92SD,BEDFORD,TL043514,MIDL,77,G8MGP,52.15104442,-0.476977621,OPERATIONAL,
GB3BG,70CM,RB09,433.2250,434.8250,AV,IO81KS,BLAENAVON,SO2532309385,WM,94.8,GW7LOP,51.778365,-3.083557,LICENSED,
GB3BI,2M,RV58,145.7250,145.1250,AV,IO77WO,INVERNESS,NH877409,SCOT,67,GM1VAD,57.62,-4.11,LICENSED,
GB3BK,23CM,RM0A,1299.8500,1293.8500,AV,JO01AK,BROMLEY,TQ398717,SE,103.5,G0WYG,51.427071,0.009475,NOT OPERATIONAL,
GB3BL,70CM,RB07,433.1750,434.7750,AV,IO92SD,BEDFORD,TL067504,MIDL,77,G8MGP,52.14159925,-0.442227328,OPERATIONAL,
GB3BM,2M,RV57,145.7125,145.1125,AV,IO92BL,BIRMINGHAM,SP077852,MIDL,67,G8AMD,52.464471,-1.888401,TESTING,
GB3BN,70CM,RB0,433.0000,434.6000,AV,IO91OJ,BRACKNELL,SU838690,SW,118.8,G8DOR,51.41383782,-0.796390086,OPERATIONAL,
GB3BR,70CM,RB06,433.1500,434.7500,AV,IO90WT,BRIGHTON,TQ328051,SE,88.5,G4PAP,50.83021126,-0.115657221,OPERATIONAL,
GB3BS,70CM,RU68,430.8500,438.4500,AV,IO81TK,BRISTOL CITY,ST716702,SW,118.8,G4SDR,51.4305401,-2.4090501,OPERATIONAL,
GB3BT,2M,RV56,145.7000,145.1000,AV,IO85WT,BERWICK ON TWEED,NT948583,SCOT,118.8,GM1JFF,55.81793262,-2.084538855,OPERATIONAL,
GB3BV,70CM,RB01,433.0250,434.6250,AV,IO91SR,HEMEL HEMPSTEAD,TL084041,SE,118.8,G8BQH,51.72515219,-0.431968359,OPERATIONAL,
GB3BX,2M,RV54,145.6750,145.0750,AV,IO82QN,MUCH WENLOCK,SO370309,WM,146.2,M1GIZ,52.58,-2.59,OPERATIONAL,
GB3BZ,70CM,RU68,430.8500,438.4500,AV,JO01GW,BRAINTREE,TL741287,SE,110.9,G0DEC,51.9294001,0.5309001,OPERATIONAL,
