#,Freq,Mode,Shift,Offset,"TX Freq",Enc/Dec,Tone,Code,Show,Name,Power,Scan,Clk,Step,Scan2,Scan3,Scan4,Scan5,Scan6,Description
1,"145.0625 ",FM,Minus,0,,0,,,Name,GB3AA,4,0,Off,,,,,,,
2,"438.5750 ",FM,Minus,0,,0,,,Name,GB3AC,4,0,Off,,,,,,,
3,"51.2200 ",FM,Minus,0,,0,,,Name,GB3AE,4,0,Off,,,,,,,
4,"145.1250 ",FM,Minus,0,,0,,,Name,GB3AG,4,0,Off,,,,,,,
5,"434.8750 ",FM,Minus,0,,0,,,Name,GB3AH,4,0,Off,,,,,,,
6,"1,277.3500 ",FM,Minus,0,,0,,,Name,GB3AK,4,0,Off,,,,,,,
7,"145.1375 ",FM,Minus,0,,0,,,Name,GB3AL,4,0,Off,,,,,,,
8,"51.3400 ",FM,Minus,0,,0,,,Name,GB3AM,4,0,Off,,,,,,,
9,"434.8000 ",FM,Minus,0,,0,,,Name,GB3AN,4,0,Off,,,,,,,
10,"145.0125 ",FM,Minus,0,,0,,,Name,GB3AP,4,0,Off,,,,,,,
11,"145.1000 ",FM,Minus,0,,0,,,Name,GB3AR,4,0,Off,,,,,,,
12,"145.0000 ",FM,Minus,0,,0,,,Name,GB3AS,4,0,Off,,,,,,,
13,"434.7750 ",FM,Minus,0,,0,,,Name,GB3AU,4,0,Off,,,,,,,
14,"434.6500 ",FM,Minus,0,,0,,,Name,GB3AV,4,0,Off,,,,,,,
15,"434.8500 ",FM,Minus,0,,0,,,Name,GB3AW,4,0,Off,,,,,,,
16,"145.0500 ",FM,Minus,0,,0,,,Name,GB3AY,4,0,Off,,,,,,,
17,"145.1000 ",FM,Minus,0,,0,,,Name,GB3BB,4,0,Off,,,,,,,
18,"145.1500 ",FM,Minus,0,,0,,,Name,GB3BC,4,0,Off,,,,,,,
19,"438.4625 ",FM,Minus,0,,0,,,Name,GB3BE,4,0,Off,,,,,,,
