<pre>** 
			SELECT * FROM
            	(SELECT *  FROM `e107_repeater`
				   ) as tmp
				left join `e107_repeater_band` on tmp.repeater_band_fk=repeater_band_id
				left join `e107_repeater_channel` on tmp.repeater_channel_fk=repeater_channelID
				left join `e107_repeater_type` on tmp.repeater_type_fk=repeater_type_id
				left join `e107_repeater_region` on tmp.repeater_region_fk=repeater_region_id
				left join `e107_repeater_ctcss` on tmp.repeater_ctcss_fk=repeater_ctcss_id
				left join `e107_repeater_status` on tmp.repeater_status_fk=repeater_status_id
				 WHERE repeater_id > 0 
				 ORDER BY repeater_callsign
				 </pre><br />
#,Freq,Mode,Shift,Offset,"TX Freq",Enc/Dec,Tone,Code,Show,Name,Power,Scan,Clk,Step,Scan2,Scan3,Scan4,Scan5,Scan6,Description,"BANK 1","BANK 2","BANK 3","BANK 4","BANK 5","BANK 6","BANK 7","BANK 8","BANK 9",BANK10,BANK11,BANK12,BANK13,BANK14,BANK15,BANK16,BANK17,BANK18,BANK19,BANK20,BANK21,BANK22,BANK23,BANK24,PRFRQ,SMSQL,RXATT,ELL,Masked,Internet,DCSinv
1,"145.0625 ",FM,Minus,0,"145.6625 ",OFF,94.8,023,,GB3AA,HIGH,,OFF,"12.5 K",,,,,,", BRISTOL, , IO81RO, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
2,"438.5750 ",FM,Minus,0,"430.9750 ",OFF,94.8,023,,GB3AC,HIGH,,OFF,"12.5 K",,,,,,", LYDNEY GLOS, , IO81SR, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
3,"51.2200 ",FM,Minus,0,"50.7200 ",OFF,94.8,023,,GB3AE,HIGH,,OFF,"12.5 K",,,,,,", TENBY, , IO71PR, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
4,"145.1250 ",FM,Minus,0,"145.7250 ",OFF,94.8,023,,GB3AG,HIGH,,OFF,"12.5 K",,,,,,", FORFAR, , IO86ON, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
5,"434.8750 ",FM,Minus,0,"433.2750 ",OFF,94.8,023,,GB3AH,HIGH,,OFF,"12.5 K",,,,,,", EAST DEREHAM, , JO02KP, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
6,"1,277.3500 ",FM,Minus,0,"1,297.3500 ",OFF,94.8,023,,GB3AK,HIGH,,OFF,"12.5 K",,,,,,", BRISTOL, , IO81RO, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
7,"145.1375 ",FM,Minus,0,"145.7375 ",OFF,77.0,023,,GB3AL,HIGH,,OFF,"12.5 K",,,,,,", AMERSHAM, , IO91QP, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
8,"51.3400 ",FM,Minus,0,"50.8400 ",OFF,77.0,023,,GB3AM,HIGH,,OFF,"12.5 K",,,,,,", AMERSHAM, , IO91QP, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
9,"434.8000 ",FM,Minus,0,"433.2000 ",OFF,110.9,023,,GB3AN,HIGH,,OFF,"12.5 K",,,,,,", AMLWCH, , IO73UJ, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
10,"145.0125 ",FM,Minus,0,"145.6125 ",OFF,94.8,023,,GB3AP,HIGH,,OFF,"12.5 K",,,,,,", HAVERFORDWEST, , IO71OV, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
11,"145.1000 ",FM,Minus,0,"145.7000 ",OFF,110.9,023,,GB3AR,HIGH,,OFF,"12.5 K",,,,,,", CAERNARFON, , IO73VC, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
12,"145.0000 ",FM,Minus,0,"145.6000 ",OFF,77.0,023,,GB3AS,HIGH,,OFF,"12.5 K",,,,,,", CARLISLE, , IO84LS, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
13,"434.7750 ",FM,Minus,0,"433.1750 ",OFF,82.5,023,,GB3AU,HIGH,,OFF,"12.5 K",,,,,,", AMERSHAM, , IO91QP, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
14,"434.6500 ",FM,Minus,0,"433.0500 ",OFF,118.8,023,,GB3AV,HIGH,,OFF,"12.5 K",,,,,,", AYLESBURY, , IO91OT, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
15,"434.8500 ",FM,Minus,0,"433.2500 ",OFF,71.9,023,,GB3AW,HIGH,,OFF,"12.5 K",,,,,,", NEWBURY, , IO91HH, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
16,"145.0500 ",FM,Minus,0,"145.6500 ",OFF,103.5,023,,GB3AY,HIGH,,OFF,"12.5 K",,,,,,", DALRY, , IO75OR, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
17,"145.1000 ",FM,Minus,0,"145.7000 ",OFF,94.8,023,,GB3BB,HIGH,,OFF,"12.5 K",,,,,,", BRECON, , IO81HW, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
18,"145.1500 ",FM,Minus,0,"145.7500 ",OFF,94.8,023,,GB3BC,HIGH,,OFF,"12.5 K",,,,,,", PONTYPRIDD, , IO81IO, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
